,Release Date,Season,Episode,Episode Title,Name,Sentence,House,Sentences_Clean,Num_Words,Tokenized_Sentence,Tokenized_No_Stop,Stemmed_Sentence,Stemmed_Sentence_Non_Token,Sentiment,Sentiment_Compound_Score,Lannister_Word_Score,Stark_Word_Score,Targaryen_Word_Score,Mormont_Word_Score
3649,4/8/2012,Season 2,Episode 2,The Night Lands,tyrion lannister,"I don't know what I believe, but here's a fact for you. The Night's Watch is the only thing that separates us from what lies beyond the Wall.",House Lannister, i do not know what i believe but heres a fact for you the nights watch is the only thing that separates us from what lies beyond the wall,29,"['i', 'do', 'not', 'know', 'what', 'i', 'believe', 'but', 'heres', 'a', 'fact', 'for', 'you', 'the', 'nights', 'watch', 'is', 'the', 'only', 'thing', 'that', 'separates', 'us', 'from', 'what', 'lies', 'beyond', 'the', 'wall']","['know', 'believe', 'heres', 'fact', 'nights', 'watch', 'thing', 'separates', 'us', 'lies', 'beyond', 'wall']","['know', 'believe', 'here', 'fact', 'night', 'watch', 'thing', 'separate', 'u', 'lie', 'beyond', 'wall']", know believe here fact night watch thing separate u lie beyond wall,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0005983400887859486,0.0005814334381551362,0.00045648204503956173,0.0008983301627562883
6959,6/3/2012,Season 2,Episode 10,Valar Morghulis,tyrion lannister,That was the arrangement we made. I pay you and you lie to me.,House Lannister, that was the arrangement we made i pay you and you lie to me,14,"['that', 'was', 'the', 'arrangement', 'we', 'made', 'i', 'pay', 'you', 'and', 'you', 'lie', 'to', 'me']","['arrangement', 'made', 'pay', 'lie']","['arrangement', 'made', 'pay', 'lie']", arrangement made pay lie,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.1027}",-0.1027,0.0,0.0,0.0,0.0
4426,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,Begin.,House Lannister, begin,1,['begin'],['begin'],['begin'], begin,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
5917,5/13/2012,Season 2,Episode 7,A Man Without Honor,cersei lannister,"Why not? He has a good mind for strategy, doesn't he?",House Lannister, why not he has a good mind for strategy does not he,12,"['why', 'not', 'he', 'has', 'a', 'good', 'mind', 'for', 'strategy', 'does', 'not', 'he']","['good', 'mind', 'strategy']","['good', 'mind', 'strategy']", good mind strategy,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,0.0007334491410924531,0.0006878930817610062,0.0,0.001479602621010357
3516,4/1/2012,Season 2,Episode 1,The North Remembers,cersei lannister,Of course it is. No one believes this foul gossip -,House Lannister, of course it is no one believes this foul gossip ,10,"['of', 'course', 'it', 'is', 'no', 'one', 'believes', 'this', 'foul', 'gossip']","['course', 'one', 'believes', 'foul', 'gossip']","['course', 'one', 'belief', 'foul', 'gossip']", course one belief foul gossip,"{'neg': 0.298, 'neu': 0.702, 'pos': 0.0, 'compound': -0.1779}",-0.1779,0.0005558772437753329,0.0006682389937106919,0.0008520998174071819,0.0003804692454026633
6634,5/27/2012,Season 2,Episode 9,Blackwater,lancel lannister,On the battlements with Lord Tyrion.,House Lannister, on the battlements with lord tyrion,6,"['on', 'the', 'battlements', 'with', 'lord', 'tyrion']","['battlements', 'lord', 'tyrion']","['battlement', 'lord', 'tyrion']", battlement lord tyrion,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}",-0.1027,0.0015441034549314803,0.001736111111111111,0.0005072022722661798,0.0
4941,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,daenerys targaryen,"Xaro is our host, but we know nothing about him. Men like to talk about other men when they're happy.",House Targaryen, xaro is our host but we know nothing about him men like to talk about other men when they are happy,21,"['xaro', 'is', 'our', 'host', 'but', 'we', 'know', 'nothing', 'about', 'him', 'men', 'like', 'to', 'talk', 'about', 'other', 'men', 'when', 'they', 'are', 'happy']","['xaro', 'host', 'know', 'nothing', 'men', 'like', 'talk', 'men', 'happy']","['xaro', 'host', 'know', 'nothing', 'men', 'like', 'talk', 'men', 'happy']", xaro host know nothing men like talk men happy,"{'neg': 0.165, 'neu': 0.546, 'pos': 0.289, 'compound': 0.3798}",0.3798,0.001325355465482854,0.001484975541579315,0.0023331304524244266,0.001056859015007398
5647,5/13/2012,Season 2,Episode 7,A Man Without Honor,arya stark,"Have you met many stonemasons, my lord?",House Stark, have you met many stonemasons my lord,7,"['have', 'you', 'met', 'many', 'stonemasons', 'my', 'lord']","['met', 'many', 'stonemasons', 'lord']","['met', 'many', 'stonemason', 'lord']", met many stonemason lord,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.001476548928778228,0.0013020833333333333,0.0009129640900791235,0.0003170577045022194
4628,4/22/2012,Season 2,Episode 4,Garden of Bones,tyrion lannister,Save it for Joffrey. He loves a good grovel.,House Lannister, save it for joffrey he loves a good grovel,9,"['save', 'it', 'for', 'joffrey', 'he', 'loves', 'a', 'good', 'grovel']","['save', 'joffrey', 'loves', 'good', 'grovel']","['save', 'joffrey', 'love', 'good', 'grovel']", save joffrey love good grovel,"{'neg': 0.0, 'neu': 0.163, 'pos': 0.837, 'compound': 0.8834}",0.8834,0.0006485234510712216,0.0006092767295597485,0.0006695069993913573,0.0008877615726062143
4756,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,tyrion lannister,Swear to me on what?,House Lannister, swear to me on what,5,"['swear', 'to', 'me', 'on', 'what']",['swear'],['swear'], swear,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.0516}",-0.0516,0.0,0.0,0.0,0.0
5247,5/6/2012,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Why?,House Lannister, why,1,['why'],[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
6751,6/3/2012,Season 2,Episode 10,Valar Morghulis,joffrey lannister,"I, Joffrey of the House Baratheon, first of my name, the rightful King of the Andals and the First Men, Lord of the Seven Kingdoms and Protector of the Realm, do hereby proclaim my grandfather, Tywin Lannister, the savior of the city and the Hand of the King.",House Lannister, i joffrey of the house baratheon first of my name the rightful king of the andals and the first men lord of the seven kingdoms and protector of the realm do hereby proclaim my grandfather tywin lannister the savior of the city and the hand of the king,48,"['i', 'joffrey', 'of', 'the', 'house', 'baratheon', 'first', 'of', 'my', 'name', 'the', 'rightful', 'king', 'of', 'the', 'andals', 'and', 'the', 'first', 'men', 'lord', 'of', 'the', 'seven', 'kingdoms', 'and', 'protector', 'of', 'the', 'realm', 'do', 'hereby', 'proclaim', 'my', 'grandfather', 'tywin', 'lannister', 'the', 'savior', 'of', 'the', 'city', 'and', 'the', 'hand', 'of', 'the', 'king']","['joffrey', 'house', 'baratheon', 'first', 'name', 'rightful', 'king', 'andals', 'first', 'men', 'lord', 'seven', 'kingdoms', 'protector', 'realm', 'hereby', 'proclaim', 'grandfather', 'tywin', 'lannister', 'savior', 'city', 'hand', 'king']","['joffrey', 'house', 'baratheon', 'first', 'name', 'rightful', 'king', 'andals', 'first', 'men', 'lord', 'seven', 'kingdom', 'protector', 'realm', 'hereby', 'proclaim', 'grandfather', 'tywin', 'lannister', 'savior', 'city', 'hand', 'king']", joffrey house baratheon first name rightful king andals first men lord seven kingdom protector realm hereby proclaim grandfather tywin lannister savior city hand king,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.4939}",0.4939,0.0008975101331789229,0.0010850694444444443,0.0006720430107526881,0.0003963221306277742
6046,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,catelyn stark,"Bran and Rickon are captives in Winterfell. Sansa and Arya are captives in King's Landing. I have five children, and only one of them is free.",House Stark, bran and rickon are captives in winterfell sansa and arya are captives in kings landing i have five children and only one of them is free,26,"['bran', 'and', 'rickon', 'are', 'captives', 'in', 'winterfell', 'sansa', 'and', 'arya', 'are', 'captives', 'in', 'kings', 'landing', 'i', 'have', 'five', 'children', 'and', 'only', 'one', 'of', 'them', 'is', 'free']","['bran', 'rickon', 'captives', 'winterfell', 'sansa', 'arya', 'captives', 'kings', 'landing', 'five', 'children', 'one', 'free']","['bran', 'rickon', 'captive', 'winterfell', 'sansa', 'arya', 'captive', 'king', 'landing', 'five', 'child', 'one', 'free']", bran rickon captive winterfell sansa arya captive king landing five child one free,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.5106}",0.5106,0.0005077724822947753,0.001201923076923077,0.0005150053841471979,0.0004390029754646115
3804,4/8/2012,Season 2,Episode 2,The Night Lands,arya stark,Then I wouldn't get to insult anyone. .,House Stark, then i would not get to insult anyone ,8,"['then', 'i', 'would', 'not', 'get', 'to', 'insult', 'anyone']","['would', 'get', 'insult', 'anyone']","['would', 'get', 'insult', 'anyone']", would get insult anyone,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.5106}",-0.5106,0.0015923566878980893,0.0019899764150943396,0.0009129640900791236,0.0006341154090044388
6576,5/27/2012,Season 2,Episode 9,Blackwater,cersei lannister,Oh. On all of us?,House Lannister, oh on all of us,5,"['oh', 'on', 'all', 'of', 'us']","['oh', 'us']","['oh', 'u']", oh u,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0004632310364794441,0.0,0.0007608034083992696,0.0
5827,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton,What was he like?,House Lannister, what was he like,4,"['what', 'was', 'he', 'like']",['like'],['like'], like,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",0.3612,0.00335842501447597,0.002751572327044025,0.0036518563603164943,0.0012682308180088776
5399,5/6/2012,Season 2,Episode 6,The Old Gods and the New,tywin lannister,Quite a man. What killed him?,House Lannister, quite a man what killed him,6,"['quite', 'a', 'man', 'what', 'killed', 'him']","['quite', 'man', 'killed']","['quite', 'man', 'killed']", quite man killed,"{'neg': 0.705, 'neu': 0.295, 'pos': 0.0, 'compound': -0.6983}",-0.6983,0.0010036672457054622,0.0011464884696016772,0.0009129640900791236,0.0016909744240118367
3235,4/1/2012,Season 2,Episode 1,The North Remembers,cersei lannister,Our father is Hand of the King.,House Lannister, our father is hand of the king,7,"['our', 'father', 'is', 'hand', 'of', 'the', 'king']","['father', 'hand', 'king']","['father', 'hand', 'king']", father hand king,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4939}",0.4939,0.002856591391623239,0.003504979035639413,0.0013187259078920675,0.001479602621010357
6278,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,talisa,"I was raised to be a proper little lady, to play the harp and dance the latest steps and recite Valyrian poetry.",House Stark, i was raised to be a proper little lady to play the harp and dance the latest steps and recite valyrian poetry,22,"['i', 'was', 'raised', 'to', 'be', 'a', 'proper', 'little', 'lady', 'to', 'play', 'the', 'harp', 'and', 'dance', 'the', 'latest', 'steps', 'and', 'recite', 'valyrian', 'poetry']","['raised', 'proper', 'little', 'lady', 'play', 'harp', 'dance', 'latest', 'steps', 'recite', 'valyrian', 'poetry']","['raised', 'proper', 'little', 'lady', 'play', 'harp', 'dance', 'latest', 'step', 'recite', 'valyrian', 'poetry']", raised proper little lady play harp dance latest step recite valyrian poetry,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.2782}",0.2782,0.0003956765103261918,0.0001228380503144654,0.0,0.0
5901,5/13/2012,Season 2,Episode 7,A Man Without Honor,catelyn stark,"I understand your grief, my lord, better than most, I understand it. But in the name of my son, the King in the North, stand down.",House Stark, i understand your grief my lord better than most i understand it but in the name of my son the king in the north stand down,26,"['i', 'understand', 'your', 'grief', 'my', 'lord', 'better', 'than', 'most', 'i', 'understand', 'it', 'but', 'in', 'the', 'name', 'of', 'my', 'son', 'the', 'king', 'in', 'the', 'north', 'stand', 'down']","['understand', 'grief', 'lord', 'better', 'understand', 'name', 'son', 'king', 'north', 'stand']","['understand', 'grief', 'lord', 'better', 'understand', 'name', 'son', 'king', 'north', 'stand']", understand grief lord better understand name son king north stand,"{'neg': 0.227, 'neu': 0.567, 'pos': 0.206, 'compound': -0.0772}",-0.0772,0.00115807759119861,0.0015526729559748429,0.0006695069993913573,0.0003804692454026633
4216,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,cersei lannister,Are you mad? The Martells loathe us.,House Lannister, are you mad the martells loathe us,7,"['are', 'you', 'mad', 'the', 'martells', 'loathe', 'us']","['mad', 'martells', 'loathe', 'us']","['mad', 'martells', 'loathe', 'u']", mad martells loathe u,"{'neg': 0.865, 'neu': 0.135, 'pos': 0.0, 'compound': -0.7506}",-0.7506,0.0,0.0,0.0,0.0
4361,4/22/2012,Season 2,Episode 4,Garden of Bones,robb stark,They killed my father.,House Stark, they killed my father,4,"['they', 'killed', 'my', 'father']","['killed', 'father']","['killed', 'father']", killed father,"{'neg': 0.818, 'neu': 0.182, 'pos': 0.0, 'compound': -0.6705}",-0.6705,0.0015634047481181239,0.0028498427672955973,0.0007608034083992696,0.0009511731135066582
4253,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,tyrion lannister,Cut off his manhood and feed it to the goats.,House Lannister, cut off his manhood and feed it to the goats,10,"['cut', 'off', 'his', 'manhood', 'and', 'feed', 'it', 'to', 'the', 'goats']","['cut', 'manhood', 'feed', 'goats']","['cut', 'manhood', 'feed', 'goat']", cut manhood feed goat,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.2732}",-0.2732,0.0,0.0,0.0,0.0
3645,4/8/2012,Season 2,Episode 2,The Night Lands,tyrion lannister,"According to the Commander, one of these dead men attacked him in his chambers. . Mormont doesn't lie.",House Lannister, according to the commander one of these dead men attacked him in his chambers  mormont does not lie,18,"['according', 'to', 'the', 'commander', 'one', 'of', 'these', 'dead', 'men', 'attacked', 'him', 'in', 'his', 'chambers', 'mormont', 'does', 'not', 'lie']","['according', 'commander', 'one', 'dead', 'men', 'attacked', 'chambers', 'mormont', 'lie']","['according', 'commander', 'one', 'dead', 'men', 'attacked', 'chamber', 'mormont', 'lie']", according commander one dead men attacked chamber mormont lie,"{'neg': 0.51, 'neu': 0.49, 'pos': 0.0, 'compound': -0.8074}",-0.8074,0.0005790387955993051,0.0007643256464011181,0.0009805910597146142,0.0007750299443387587
5631,5/13/2012,Season 2,Episode 7,A Man Without Honor,arya stark,Dragons?,House Stark, dragons,1,['dragons'],['dragons'],['dragon'], dragon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.005782105903834449,0.0019023462270133164
5947,5/13/2012,Season 2,Episode 7,A Man Without Honor,jaime lannister,"Come to say goodbye, Lady Stark? I believe it's my last night in this world. Is that a woman?",House Lannister, come to say goodbye lady stark i believe it is my last night in this world is that a woman,20,"['come', 'to', 'say', 'goodbye', 'lady', 'stark', 'i', 'believe', 'it', 'is', 'my', 'last', 'night', 'in', 'this', 'world', 'is', 'that', 'a', 'woman']","['come', 'say', 'goodbye', 'lady', 'stark', 'believe', 'last', 'night', 'world', 'woman']","['come', 'say', 'goodbye', 'lady', 'stark', 'believe', 'last', 'night', 'world', 'woman']", come say goodbye lady stark believe last night world woman,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0013086276780544296,0.0007272012578616353,0.0008825319537431528,0.001014584654407102
3767,4/8/2012,Season 2,Episode 2,The Night Lands,tyrion lannister,The queen regent. And you're a fool to believe she's your friend.,House Lannister, the queen regent and you are a fool to believe she is your friend,14,"['the', 'queen', 'regent', 'and', 'you', 'are', 'a', 'fool', 'to', 'believe', 'she', 'is', 'your', 'friend']","['queen', 'regent', 'fool', 'believe', 'friend']","['queen', 'regent', 'fool', 'believe', 'friend']", queen regent fool believe friend,"{'neg': 0.319, 'neu': 0.33, 'pos': 0.352, 'compound': 0.0772}",0.0772,0.00025477707006369424,0.00021619496855345913,0.00024345709068776628,0.0007609384908053266
4885,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,jon snow,When will he come?,House Stark, when will he come,4,"['when', 'will', 'he', 'come']",['come'],['come'], come,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0011580775911986102,0.0025550314465408804,0.002738892270237371,0.0025364616360177552
3241,4/1/2012,Season 2,Episode 1,The North Remembers,tyrion lannister,Quite right. You did nothing when your son called for Ned Stark's head. Now the entire North has risen up against us.,House Lannister, quite right you did nothing when your son called for ned starks head now the entire north has risen up against us,22,"['quite', 'right', 'you', 'did', 'nothing', 'when', 'your', 'son', 'called', 'for', 'ned', 'starks', 'head', 'now', 'the', 'entire', 'north', 'has', 'risen', 'up', 'against', 'us']","['quite', 'right', 'nothing', 'son', 'called', 'ned', 'starks', 'head', 'entire', 'north', 'risen', 'us']","['quite', 'right', 'nothing', 'son', 'called', 'ned', 'starks', 'head', 'entire', 'north', 'risen', 'u']", quite right nothing son called ned starks head entire north risen u,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0006079907353792704,0.00044221698113207543,0.0004057618178129438,0.000581272458254069
6596,5/27/2012,Season 2,Episode 9,Blackwater,tyrion lannister,"He's a serious man, Stannis Baratheon.",House Lannister, he is a serious man stannis baratheon,7,"['he', 'is', 'a', 'serious', 'man', 'stannis', 'baratheon']","['serious', 'man', 'stannis', 'baratheon']","['serious', 'man', 'stannis', 'baratheon']", serious man stannis baratheon,"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.0772}",-0.0772,0.0007527504342790967,0.0008107311320754717,0.0006847230675593427,0.0012682308180088776
3483,4/1/2012,Season 2,Episode 1,The North Remembers,catelyn stark,They say a million rats live in the sewers of King's Landing. Shall we rally them to fight for us?,House Stark, they say a million rats live in the sewers of kings landing shall we rally them to fight for us,20,"['they', 'say', 'a', 'million', 'rats', 'live', 'in', 'the', 'sewers', 'of', 'kings', 'landing', 'shall', 'we', 'rally', 'them', 'to', 'fight', 'for', 'us']","['say', 'million', 'rats', 'live', 'sewers', 'kings', 'landing', 'shall', 'rally', 'fight', 'us']","['say', 'million', 'rat', 'live', 'sewer', 'king', 'landing', 'shall', 'rally', 'fight', 'u']", say million rat live sewer king landing shall rally fight u,"{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.3818}",-0.3818,0.0005053429488866663,0.0007057604345340195,0.0005256459912576772,0.0005764685536403989
6208,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,cersei lannister,He's only a boy.,House Lannister, he is only a boy,5,"['he', 'is', 'only', 'a', 'boy']",['boy'],['boy'], boy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.003242617255356109,0.0023584905660377358,0.0,0.0031705770450221942
4132,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,sansa stark,No.,House Stark, no,1,['no'],[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
5333,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,You can't-,House Lannister, you cant,2,"['you', 'cant']",['cant'],['cant'], cant,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0012172854534388314,0.0
4402,4/22/2012,Season 2,Episode 4,Garden of Bones,tyrion lannister,"Lady Stark, you may survive us yet.",House Lannister, lady stark you may survive us yet,7,"['lady', 'stark', 'you', 'may', 'survive', 'us', 'yet']","['lady', 'stark', 'may', 'survive', 'us', 'yet']","['lady', 'stark', 'may', 'survive', 'u', 'yet']", lady stark may survive u yet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0011580775911986102,0.0004749737945492663,0.0,0.0003170577045022194
4241,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,tyrion lannister,Find him?,House Lannister, find him,2,"['find', 'him']",['find'],['find'], find,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0009827044025157233,0.0,0.0025364616360177552
3781,4/8/2012,Season 2,Episode 2,The Night Lands,arya stark,"If you got within a mile of a battle, you'd fill your pants.",House Stark, if you got within a mile of a battle you would fill your pants,14,"['if', 'you', 'got', 'within', 'a', 'mile', 'of', 'a', 'battle', 'you', 'would', 'fill', 'your', 'pants']","['got', 'within', 'mile', 'battle', 'would', 'fill', 'pants']","['got', 'within', 'mile', 'battle', 'would', 'fill', 'pant']", got within mile battle would fill pant,"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.3818}",-0.3818,0.0007113905203077178,0.0008002021563342318,0.0005216937657594992,0.00018117583114412537
6041,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,robb stark,Why?,House Stark, why,1,['why'],[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
4480,4/22/2012,Season 2,Episode 4,Garden of Bones,catelyn stark,I trusted you. My husband trusted you. And you repaid our faith with treachery.,House Stark, i trusted you my husband trusted you and you repaid our faith with treachery,14,"['i', 'trusted', 'you', 'my', 'husband', 'trusted', 'you', 'and', 'you', 'repaid', 'our', 'faith', 'with', 'treachery']","['trusted', 'husband', 'trusted', 'repaid', 'faith', 'treachery']","['trusted', 'husband', 'trusted', 'repaid', 'faith', 'treachery']", trusted husband trusted repaid faith treachery,"{'neg': 0.0, 'neu': 0.25, 'pos': 0.75, 'compound': 0.8402}",0.8402,0.0,0.0,0.0,0.0
5404,5/6/2012,Season 2,Episode 6,The Old Gods and the New,arya stark,"Did you know your father, my lord?",House Stark, did you know your father my lord,7,"['did', 'you', 'know', 'your', 'father', 'my', 'lord']","['know', 'father', 'lord']","['know', 'father', 'lord']", know father lord,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0033584250144759694,0.004815251572327044,0.002434570906877663,0.0012682308180088776
4341,4/22/2012,Season 2,Episode 4,Garden of Bones,talisa,The rot's set in.,House Stark, the rots set in,4,"['the', 'rots', 'set', 'in']","['rots', 'set']","['rot', 'set']", rot set,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
6037,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,robb stark,That would be a start.,House Stark, that would be a start,5,"['that', 'would', 'be', 'a', 'start']","['would', 'start']","['would', 'start']", would start,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0024898668210770122,0.002800707547169811,0.0018259281801582471,0.0006341154090044388
5828,5/13/2012,Season 2,Episode 7,A Man Without Honor,jaime lannister,"He was a painter. A painter who only used red. I couldn't imagine being able to fight like that, not back then. And to help him do that, to be a part of something that perfect. I don't need to explain how that felt, not to you.",House Lannister, he was a painter a painter who only used red i could not imagine being able to fight like that not back then and to help him do that to be a part of something that perfect i do not need to explain how that felt not to you,49,"['he', 'was', 'a', 'painter', 'a', 'painter', 'who', 'only', 'used', 'red', 'i', 'could', 'not', 'imagine', 'being', 'able', 'to', 'fight', 'like', 'that', 'not', 'back', 'then', 'and', 'to', 'help', 'him', 'do', 'that', 'to', 'be', 'a', 'part', 'of', 'something', 'that', 'perfect', 'i', 'do', 'not', 'need', 'to', 'explain', 'how', 'that', 'felt', 'not', 'to', 'you']","['painter', 'painter', 'used', 'red', 'could', 'imagine', 'able', 'fight', 'like', 'back', 'help', 'part', 'something', 'perfect', 'need', 'explain', 'felt']","['painter', 'painter', 'used', 'red', 'could', 'imagine', 'able', 'fight', 'like', 'back', 'help', 'part', 'something', 'perfect', 'need', 'explain', 'felt']", painter painter used red could imagine able fight like back help part something perfect need explain felt,"{'neg': 0.106, 'neu': 0.531, 'pos': 0.363, 'compound': 0.743}",0.743,0.0003542354984842808,0.0004219848316685165,0.0005012351867101071,0.0002984072512962065
5410,5/6/2012,Season 2,Episode 6,The Old Gods and the New,arya stark,"The armory, my lord.",House Stark, the armory my lord,4,"['the', 'armory', 'my', 'lord']","['armory', 'lord']","['armory', 'lord']", armory lord,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0023161551823972205,0.0026041666666666665,0.0007608034083992696,0.0
6955,6/3/2012,Season 2,Episode 10,Valar Morghulis,tyrion lannister,Well?,House Lannister, well,1,['well'],['well'],['well'], well,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",0.2732,0.0015055008685581934,0.0018671383647798742,0.0012172854534388314,0.0019023462270133164
6800,6/3/2012,Season 2,Episode 10,Valar Morghulis,jaime lannister,"Ah. But you fought them off. But maybe you wished one of them could overpower you, fling you down, tear off your clothes. But none of them were strong enough. I'm strong enough.",House Lannister, ah but you fought them off but maybe you wished one of them could overpower you fling you down tear off your clothes but none of them were strong enough i am strong enough,34,"['ah', 'but', 'you', 'fought', 'them', 'off', 'but', 'maybe', 'you', 'wished', 'one', 'of', 'them', 'could', 'overpower', 'you', 'fling', 'you', 'down', 'tear', 'off', 'your', 'clothes', 'but', 'none', 'of', 'them', 'were', 'strong', 'enough', 'i', 'am', 'strong', 'enough']","['ah', 'fought', 'maybe', 'wished', 'one', 'could', 'overpower', 'fling', 'tear', 'clothes', 'none', 'strong', 'enough', 'strong', 'enough']","['ah', 'fought', 'maybe', 'wished', 'one', 'could', 'overpower', 'fling', 'tear', 'clothes', 'none', 'strong', 'enough', 'strong', 'enough']", ah fought maybe wished one could overpower fling tear clothes none strong enough strong enough,"{'neg': 0.391, 'neu': 0.609, 'pos': 0.0, 'compound': -0.772}",-0.772,0.0003088206909862961,0.0004520440251572327,0.0005477784540474742,0.0005495666878038469
4861,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,arya stark,They call him the Young Wolf.,House Stark, they call him the young wolf,6,"['they', 'call', 'him', 'the', 'young', 'wolf']","['call', 'young', 'wolf']","['call', 'young', 'wolf']", call young wolf,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0008454872120059184
4936,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,doreah,Did you see the dress Xaro had made for you? They say he's the wealthiest man in Qarth.,House Targaryen, did you see the dress xaro had made for you they say he is the wealthiest man in qarth,19,"['did', 'you', 'see', 'the', 'dress', 'xaro', 'had', 'made', 'for', 'you', 'they', 'say', 'he', 'is', 'the', 'wealthiest', 'man', 'in', 'qarth']","['see', 'dress', 'xaro', 'made', 'say', 'wealthiest', 'man', 'qarth']","['see', 'dress', 'xaro', 'made', 'say', 'wealthiest', 'man', 'qarth']", see dress xaro made say wealthiest man qarth,"{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.4939}",0.4939,0.0008830341632889403,0.0008475825471698113,0.0007608034083992697,0.0011889663918833227
5654,5/13/2012,Season 2,Episode 7,A Man Without Honor,arya stark,Yes.,House Stark, yes,1,['yes'],['yes'],['yes'], yes,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",0.4019,0.0019687319050376373,0.001474056603773585,0.002434570906877663,0.0
